max_momento,delta,theta,alpha,beta,gamma
41.0,0.4347122065822473,3.1935458924293543,3.9250449427227134,1.0681880553845196,0.12878805331770316
42.0,0.4044376314271106,3.217237098700522,4.3937314266961,1.057047428791193,0.13002411318660134
43.0,0.31413732373189,2.891221953928928,4.220674467113538,1.14501721603893,0.12647195193653216
44.0,0.22264206040081283,2.6789425304445516,3.7546453259381836,1.040620154312891,0.11345902433147594
45.0,0.22392991630454118,2.3589813613754105,2.826090097783486,0.9731089511426669,0.1036340517334607
46.0,0.24222888961125852,2.899530476361537,2.8166352264801153,1.1438295748095262,0.09974729189740833
47.0,0.25128133802466784,2.9112957258336745,2.8219508894657763,1.0661785919012479,0.10322894670707489
48.0,0.2648615210227862,3.0150435608618027,4.461808838131672,1.4133879653663322,0.10944301247945938
49.0,0.26173783513320736,2.3703181529079558,6.194285158248441,1.4577763323275004,0.11257244586177857
50.0,0.3462211894454998,2.9893387662545328,6.774828471601342,1.7042672203276366,0.12029708086662365
51.0,0.958909020209361,4.222550269122375,7.660956161981862,1.6488073179111233,0.1294749160493013
52.0,1.0674537299266345,5.27029633138727,7.05507601525469,1.553353316947654,0.1328446337272315
53.0,1.2692374405302667,5.993485491318254,6.043372673421738,1.630747390085668,0.1292316701651975
54.0,1.3702486801193585,5.611414455374446,7.655324720110232,2.078077064473477,0.137572351843728
55.0,0.786644700936463,4.474108653604665,8.944385128861633,2.3499899412907315,0.15039404275212245
56.0,0.6519613671936886,3.344715462912373,9.481832749296693,2.3534951397535564,0.1498835600482173
57.0,0.5045754794580344,2.6945992894079116,11.031947261034636,2.539087444314729,0.149083537637521
58.0,0.3733070634275938,2.133046807418488,11.039856569664519,2.1718374532561042,0.15170427850907292
59.0,0.4064071978198965,2.419088506173046,10.251534084820912,1.939564349984008,0.12478921602278795
60.0,0.5662928593604292,3.166515048223249,10.823837857680266,1.8485612570937926,0.1336409191842118
61.0,0.824210514476858,4.212103779857922,12.030241015112917,1.6533087901481862,0.12504881877659516
62.0,0.7995164074295643,4.872599493790791,11.380523530950803,1.2326182582488832,0.11788304048914508
63.0,0.7705392545699918,4.748562861187976,9.853162112161613,1.2736708960031131,0.1122510065657573
64.0,0.7444656967088841,4.356578135931972,8.127045658278666,1.4502390006598689,0.09946839988044769
65.0,0.972751997094714,4.817428176546436,6.664014820065438,1.5384313644405718,0.1460545081810042
66.0,1.140690605152009,5.135853620449745,5.664864687117728,1.5757178843999664,0.1493654212239289
67.0,1.1668659100899437,5.652252210110657,6.05030079487167,1.5333164377923099,0.1544945134797984
68.0,1.2086115498664878,6.321972479598492,6.1527761619488635,1.4938363945915336,0.16827291964138352
69.0,0.7461705781431461,5.785829684497189,4.871392340679029,1.498571690333584,0.12671702375630498
70.0,0.6521556766445689,6.950773560458987,5.044427850978781,1.5938677255200955,0.13299175179916456
71.0,0.6329428395069716,6.02377107843211,4.590419221587867,1.4763512707373228,0.1366979374294736
72.0,0.6133988513835331,5.989878996005014,4.390529006360106,1.4350569516048366,0.12906420493902374
73.0,0.6572133532507635,5.630145077017264,4.54282644703965,1.2017584217165616,0.12187496860659
74.0,0.5104843566586258,3.4883759483213588,3.901653812996312,1.12166440559607,0.1090880284079176
75.0,0.48590675109318426,3.2627882215439215,4.060975916087885,1.122606613122644,0.10619491608813014
76.0,0.46626194225583595,2.8700376682623827,5.292861891335351,1.2245071033490826,0.09726151528587991
77.0,0.4031872401773722,2.298856627992922,7.320003270728429,1.378718304807396,0.09551650275789723
78.0,0.38639711880572647,2.2964659661595013,8.034352335065051,1.4578007172532383,0.09758820292966328
79.0,0.356630499315537,2.389777456892282,10.893868867190285,1.6262435083023665,0.0972964025456141
80.0,0.3450018092903029,2.091998606341293,11.067954510151797,1.6581689806155717,0.10948046188107356
81.0,0.2979089310218311,2.409207064357939,9.14055236782916,1.4788895705236285,0.11958122200112228
82.0,0.4522793604663874,4.518753442453817,10.633517217991685,2.121458203791848,0.12917195364362707
83.0,0.44650240038330846,4.600126358998438,9.064724072943495,2.072715999196632,0.14564183363963387
84.0,0.4330877904201219,5.285771010696326,7.841049782378077,2.048179319110762,0.1461098008602394
85.0,0.5030044018796169,5.269542618680861,8.391243486479228,2.2154634645152034,0.14352364977357915
86.0,0.35434525308508225,3.5721415788595987,9.019256859808685,1.5629763955349745,0.13883860849647808
87.0,0.38207581280629166,3.2207044366783135,9.881938524617194,1.6851697530404361,0.13163770032487723
88.0,0.3918091713870676,2.70149115600823,10.759470067675718,1.8642449125323373,0.13537930981990737
89.0,0.33701792852140317,2.372660427095678,10.174144816079242,1.8862210520695852,0.1404958327021179
90.0,0.2993188131298813,2.305667727494974,9.094966863433285,1.95880793515589,0.13564148060168002
91.0,0.31262929078895185,2.631898735521471,6.940748288980693,1.8232567920874452,0.12607550546941304
92.0,0.27721067886689044,2.2516856600799184,5.419202384729915,1.5452075863029333,0.12473929883621183
